source;Target;Weight;Type
Werther;Lotte;155;undirected
Werther;Albert;51;undirected
Werther;Wilhelm;49;undirected
Werther;Vetter;3;undirected
Werther;Friederike;1;undirected
Werther;Magd;1;undirected
Werther;Schreiber;1;undirected
Werther;Hans;1;undirected
Werther;Marianne;1;undirected
Werther;Graf_v_C;25;undirected
Werther;Hanns;2;undirected
Werther;Amtmann;6;undirected
Werther;Base;3;undirected
Werther;Frau_von_S;5;undirected
Werther;T;1;undirected
Werther;Fräulein_von_B;14;undirected
Werther;Leonore;2;undirected
Werther;Schulz;1;undirected
Lotte;Albert;13;undirected
Lotte;Wilhelm;1;undirected
Lotte;Vetter;1;undirected
Lotte;Schreiber;1;undirected
Lotte;Louis;1;undirected
Lotte;Amtmann;1;undirected
Lotte;Base;1;undirected
Lotte;Lottens_Tänzer;1;undirected
Lotte;Fräulein_von_B;2;undirected
Lotte;Herr_Schmidt;2;undirected
Albert;Wilhelm;1;undirected
Vetter;Louis;1;undirected
Graf_v_C;Frau_von_S;2;undirected
Graf_v_C;Fräulein_von_B;3;undirected
Gänslein_Tochter;Frau_von_S;2;undirected
Base;Lottens_Tänzer;1;undirected
Frau_von_S;T;1;undirected
